"filename", "language", "JSON with Comments", "TypeScript", "TypeScript JSX", "JSON", "Markdown", "XML", "HTML", "comment", "blank", "total"
"c:\Users\Usuario\Documents\Code\eplay\.eslintrc.json", "JSON with Comments", 35, 0, 0, 0, 0, 0, 0, 0, 1, 36
"c:\Users\Usuario\Documents\Code\eplay\.prettierrc", "JSON", 0, 0, 0, 5, 0, 0, 0, 0, 1, 6
"c:\Users\Usuario\Documents\Code\eplay\README.md", "Markdown", 0, 0, 0, 0, 26, 0, 0, 0, 21, 47
"c:\Users\Usuario\Documents\Code\eplay\package-lock.json", "JSON", 0, 0, 0, 17432, 0, 0, 0, 0, 1, 17433
"c:\Users\Usuario\Documents\Code\eplay\package.json", "JSON", 0, 0, 0, 58, 0, 0, 0, 0, 1, 59
"c:\Users\Usuario\Documents\Code\eplay\public\index.html", "HTML", 0, 0, 0, 0, 0, 0, 23, 23, 1, 47
"c:\Users\Usuario\Documents\Code\eplay\public\manifest.json", "JSON", 0, 0, 0, 25, 0, 0, 0, 0, 1, 26
"c:\Users\Usuario\Documents\Code\eplay\src\App.tsx", "TypeScript JSX", 0, 0, 24, 0, 0, 0, 0, 0, 4, 28
"c:\Users\Usuario\Documents\Code\eplay\src\assets\images\carrinho.svg", "XML", 0, 0, 0, 0, 0, 9, 0, 0, 1, 10
"c:\Users\Usuario\Documents\Code\eplay\src\assets\images\logo.svg", "XML", 0, 0, 0, 0, 0, 10, 0, 0, 1, 11
"c:\Users\Usuario\Documents\Code\eplay\src\components\Banner\index.tsx", "TypeScript JSX", 0, 0, 34, 0, 0, 0, 0, 0, 7, 41
"c:\Users\Usuario\Documents\Code\eplay\src\components\Banner\styles.ts", "TypeScript", 0, 47, 0, 0, 0, 0, 0, 0, 4, 51
"c:\Users\Usuario\Documents\Code\eplay\src\components\Button\index.tsx", "TypeScript JSX", 0, 0, 37, 0, 0, 0, 0, 0, 5, 42
"c:\Users\Usuario\Documents\Code\eplay\src\components\Button\styles.ts", "TypeScript", 0, 25, 0, 0, 0, 0, 0, 0, 5, 30
